# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000800   ---        --------
               6   N   00000800   0000e101   00000804   x10_a0     00000000
               7   N   00000804   00004e01   00000806   ---        --------
               8   N   00000806   00000297   00000808   x28_t3     00000000
               9   N   00000808   bf828293   0000080c   x05_t0     00000808
              10   N   0000080c   30529073   00000810   x05_t0     00000400
              11   N   00000810   00004505   00000814   ---        --------
              12   N   00000814   0000057e   00000816   x10_a0     00000001
              13   N   00000816   00054863   00000818   x10_a0     80000000
              14   N   00000818   0ff0000f   00000828   ---        --------
              17   N   00000828   00028f63   0000082c   x05_t0     00000000
              18   N   0000082c   10529073   0000084a   ---        --------
              22   N   0000084a   00006509   0000084e   ---        --------
              23   N   0000084e   00006509   0000084e   ---        --------
              24   N   0000084e   80050513   00000850   x10_a0     00002000
              25   N   00000850   30052073   00000854   x10_a0     00001800
              26   N   00000854   00000297   00000858   ---        --------
              27   N   00000858   00000297   00000858   ---        --------
              28   N   00000858   54428293   0000085c   x05_t0     00000858
              29   N   0000085c   34129073   00000860   x05_t0     00000d9c
              30   N   00000860   f1402573   00000864   ---        --------
              31   N   00000864   30200073   00000868   x10_a0     00000000
              33   N   00000868   00000000   00000d9c   ---        --------
              36   N   00000d9c   00004321   00000d9e   x28_t3     00000002
              37   N   00000d9e   00006289   00000da0   x06_t1     00000008
              38   N   00000da0   80028293   00000da2   x05_t0     00002000
              39   N   00000da2   6289b073   00000da6   x05_t0     00001800
              41   N   00000da6   800223f3   00000daa   ---        --------
              42   N   00000daa   300023f3   00000daa   ---        --------
              43   N   00000daa   3002f2b3   00000dae   x07_t2     00001880
              45   N   00000dae   30008363   00000db2   x05_t0     00001800
              47   N   00000db2   0000432d   00000db6   ---        --------
              48   N   00000db6   00006289   00000db8   x06_t1     0000000b
              49   N   00000db8   80028293   00000dba   x05_t0     00002000
              50   N   00000dba   6289b073   00000dbe   x05_t0     00001800
              52   N   00000dbe   80020297   00000dc2   ---        --------
              53   N   00000dc2   00000297   00000dc2   ---        --------
              54   N   00000dc2   30028293   00000dc6   x05_t0     00000dc2
              56   N   00000dc6   00009073   00000dca   x05_t0     00000dd2
              58   N   00000dca   01020073   00000dce   ---        --------
              61   N   00000dce   00004e05   00000dd2   ---        --------
              64   N   00000dd2   00000073   00000dd4   x28_t3     00000001
              65   E   00000dd4   0000a019   00000400   mstatus    00001880
              65   E   00000dd4   0000a019   00000400   mepc       00000dd4
              65   E   00000dd4   0000a019   00000400   mcause     0000000b
              65   E   00000dd4   0000a019   00000400   mtval      00000000
              68   N   00000400   000047a1   00000404   x14_a4     0000000b
              69   N   00000404   04f70263   00000406   x15_a5     00000008
              70   N   00000406   000047a5   0000040a   ---        --------
              71   N   0000040a   02f70f63   0000040c   x15_a5     00000009
              72   N   0000040c   000047ad   00000410   ---        --------
              73   N   00000410   02f70c63   00000412   x15_a5     0000000b
              74   N   00000412   47ad0837   0000044a   ---        --------
              78   N   0000044a   08370013   00000e20   ---        --------
              81   N   00000e20   2d428293   00000e24   x05_t0     fffffe20
              82   N   00000e24   00008282   00000e28   x05_t0     000000f4
              83   N   00000e28   00000013   000000f4   ---        --------
              86   N   000000f4   0000006f   000000f8   ---        --------
              87   N   000000f8   ffffffff   000000f8   ---        --------
